96,0 -146,0 -146,0 141,0 148,0 45,0 -123,0 56,0 1,0 64,0 -133,0 92,0 -18,0 80,0 -147,0 37,0 -131,0 51,0 1,0 44,0 -58,0 -16,0 -82,0 2,0 142,0 
-4,53558996499211 -89,35090507998335 -90,76805492223397 77,67327468744318 155,37868386530562 35,53582207110658 12,277685119399445 -15,054331274098166 49,27624201435354 70,8151905314287 -266,60163227867065 99,9900920344813 -36,67465339615175 90,56578461305419 -174,33979465363754 76,78796335464929 -170,92537714560672 34,51246946580286 -19,497011374720824 31,73812997989748 -86,6026967390857 63,981776022160375 -45,64995317081922 58,348457962643955 143,11842827827363 
-4,53558996499211 -89,35090507998335 -90,76805492223397 77,67327468744317 155,3786838653056 35,53582207110657 12,277685119399443 -15,054331274098166 49,276242014353535 70,81519053142868 -266,60163227867065 99,99009203448128 -36,67465339615175 90,56578461305418 -174,33979465363754 76,78796335464928 -170,92537714560672 34,51246946580285 -19,497011374720824 31,738129979897476 -86,6026967390857 63,98177602216037 -45,64995317081922 58,34845796264395 143,1184282782736 
-4,53558996499211 -89,35090507998335 -90,76805492223397 77,67327468744317 155,3786838653056 35,53582207110657 12,277685119399443 -15,054331274098166 49,276242014353535 70,81519053142868 -266,60163227867065 99,99009203448128 -36,67465339615175 90,56578461305418 -174,33979465363754 76,78796335464928 -170,92537714560672 34,51246946580285 -19,497011374720824 31,738129979897476 -86,6026967390857 63,98177602216037 -45,64995317081922 58,34845796264395 143,1184282782736 
-4,044316902129993 -79,67284927093668 32,65351793377199 71,11941984462425 142,26826276075948 32,5374082600313 11,24172820368838 -13,423719271811487 3,1488207875016263 64,84000175154095 -237,72463910589602 135,13670586657716 -107,95634165323486 97,61344441255042 -155,4561553565844 81,86934047504229 -152,41157095957274 -80,68316060399655 11,992853020824995 -77,37419125477601 -91,25305562106111 58,583171749038605 99,71265827088482 26,240173229180215 131,0424934339837 
-4,044316902129994 -79,6728492709367 32,65351793377198 71,11941984462423 142,26826276075946 32,53740826003129 11,241728203688378 -13,42371927181149 3,1488207875016254 64,84000175154094 -237,72463910589607 135,13670586657713 -107,95634165323489 97,6134444125504 -155,45615535658442 81,86934047504228 -152,41157095957277 -80,68316060399657 11,992853020824993 -77,37419125477602 -91,25305562106112 58,58317174903859 99,71265827088479 26,240173229180208 131,04249343398368 
2,9196483544552745 -166,30674455573535 99,36140970968883 51,10921977791253 116,16664264164334 -15,4301694994896 3,457435394758915 -64,49566145845435 185,7427884316212 29,677921980248104 -74,83739182535307 69,66958307350825 -55,40403957122846 11,179676167733863 -198,68246901736566 63,36203803534137 -62,31318066040293 177,2340406081916 -91,89409386074392 55,174373952822414 -94,67323082371108 -16,438726893422842 -138,62241467488613 -20,90187715920644 134,94522187207411 
2,919648354455275 -166,30674455573535 99,36140970968886 51,10921977791254 116,16664264164336 -15,4301694994896 3,457435394758916 -64,49566145845435 185,74278843162122 29,67792198024811 -74,83739182535307 69,66958307350826 -55,40403957122846 11,179676167733865 -198,68246901736566 63,362038035341385 -62,31318066040293 177,23404060819163 -91,89409386074392 55,17437395282243 -94,67323082371108 -16,438726893422842 -138,62241467488613 -20,90187715920644 134,94522187207414 
3,1261256302517544 -213,24947110181333 106,38823989793669 54,72365932222396 124,38193743030114 -19,785580516097063 3,70194492292274 -82,70058878921564 198,878502154022 31,776742022199834 -95,96143721066746 74,59660988375519 -71,04271186974509 11,970301886710624 19,481507006739992 35,62551526630147 -195,75295404308974 -104,04788902030454 12,360258214111523 -99,78068787149091 -117,67867957757637 62,10328076335152 101,22197480311095 26,63736179029236 133,02603900576793 
-38,57168997252639 -90,27341999761039 -107,73048977879091 -36,944867422572074 -12,27089011145817 -16,270451291915425 59,7152683007813 -128,4687760975675 152,89115031335885 -145,77812133042505 64,38066483047308 -54,932978286313926 -78,53721637702404 93,53494796560872 202,9426245012927 -108,05919169441638 -16,60892103354142 -104,4010371568554 99,98025098337018 -46,03103127592265 152,63996350594044 -15,12091817306052 107,68352390184343 8,769889971909807 57,46171572542165 
-38,571689972526386 -90,27341999761038 -107,73048977879088 -36,94486742257207 -12,270890111458167 -16,27045129191542 59,71526830078128 -128,46877609756748 152,89115031335882 -145,77812133042502 64,38066483047307 -54,93297828631391 -78,53721637702402 93,53494796560871 202,94262450129264 -108,05919169441636 -16,608921033541417 -104,40103715685537 99,98025098337015 -46,03103127592264 152,63996350594041 -15,120918173060517 107,6835239018434 8,769889971909805 57,461715725421634 
